#OTU ID	S6262	S6263	S6264	S6265	S6266	S6267	S6268	S6269	S6270	S6271	S6272
Otu333	18	15	8	22	34	42	27	55	123	54	44
Otu32	7	3	6	33	10	30	996	4293	95	1139	5
Otu552	6	0	0	0	0	0	0	0	0	0	0
Otu157	16	11	29	28	28	20	259	51	39	35	27
Otu152	29	14	18	23	32	46	34	80	63	51	98
Otu665	2	0	0	0	0	1	0	0	0	0	0
Otu135	80	75	47	77	168	123	33	103	101	266	239
Otu108	64	39	41	43	130	143	65	123	216	92	72
Otu405	22	1	1	0	0	0	0	12	0	0	0
Otu123	37	38	47	16	34	66	407	38	27	48	27
Otu151	48	6	13	15	14	22	6	43	185	337	138
Otu218	28	19	8	20	59	57	36	74	118	49	41
Otu324	46	2	4	17	0	4	0	9	5	0	2
Otu616	16	63	21	13	0	0	4	0	1	1	0
Otu199	21	11	22	28	40	36	26	56	142	47	56
Otu260	36	13	16	32	47	55	35	79	120	65	41
Otu623	4	0	0	0	0	0	0	0	0	0	0
Otu433	7	1	0	0	0	3	0	0	3	0	5
Otu407	18	0	0	0	0	3	0	0	6	0	1
Otu41	22	3	0	12	0	49	3677	8	13	7	4
Otu208	15	3	10	22	26	31	22	54	47	19	16
Otu163	18	30	8	75	61	9	62	3	10	82	7
Otu219	113	21	13	0	25	0	53	21	1	72	0
Otu139	21	19	18	29	108	114	51	46	99	62	53
Otu134	37	56	44	39	46	134	42	117	65	121	64
Otu444	5	2	2	5	16	134	14	6	73	24	68
Otu82	113	56	56	90	151	184	137	250	379	176	171
Otu308	49	1	0	0	6	3	13	2	0	12	1
Otu133	64	43	46	49	162	202	92	120	281	203	107
Otu417	5	1	0	3	1	3	3	3	1	1	5
Otu404	4	3	3	0	3	4	3	4	5	3	5
Otu112	73	40	33	50	147	234	64	165	326	149	167
Otu327	3	1	3	4	8	2	4	6	31	8	7
Otu127	53	45	43	60	105	121	78	226	281	197	149
Otu322	6	0	6	0	2	20	6	3	15	5	10
Otu380	2	1	1	1	5	3	4	7	3	5	9
Otu257	34	13	0	0	48	3	10	4	2	25	3
Otu309	10	3	5	10	17	17	7	9	17	27	21
Otu406	16	0	0	0	1	1	1	0	3	0	3
Otu122	38	26	27	22	88	115	59	138	167	99	70
Otu301	19	14	2	5	10	4	19	3	2	16	1
Otu205	21	16	15	22	62	63	33	59	112	47	50
Otu298	11	4	6	9	20	9	6	7	11	13	13
Otu287	1	0	0	0	46	0	0	0	0	70	10
Otu269	73	9	4	4	17	13	23	7	4	32	3
Otu200	18	11	10	8	27	17	13	66	66	31	39
Otu274	12	5	3	8	15	15	6	14	18	9	10
Otu478	4	1	0	0	1	1	3	0	0	3	0
Otu201	19	5	14	12	28	20	13	26	52	43	44
Otu275	7	7	9	13	11	9	9	3	14	23	9
Otu267	7	11	4	3	15	23	7	41	56	27	17
Otu68	18	0	2	5	6	5	162	2121	40	4	1
Otu213	12	7	10	6	11	20	17	71	32	28	24
Otu354	2	0	25	2	0	70	13	9	3	2	0
Otu193	10	34	13	23	41	11	65	3	16	95	0
