#OTU ID	S6262	S6263	S6264	S6265	S6266	S6267	S6268	S6269	S6270	S6271	S6272
Otu117	0	0	0	1	2	1	6	1102	14	2	1
Otu155	0	0	0	2	210	0	0	0	0	282	35
Otu500	0	0	0	1	10	3	2	0	5	2	3
Otu569	0	0	0	1	1	0	0	1	1	1	5
Otu484	0	0	0	1	0	1	1	1	6	0	0
Otu540	0	0	0	2	1	2	2	1	0	1	1
Otu466	0	0	0	5	0	0	1	12	0	1	0
Otu492	0	0	0	1	1	0	1	3	8	0	1
Otu661	0	0	0	1	1	0	0	7	0	0	0
Otu517	0	0	0	2	0	0	6	1	0	0	0
Otu290	0	0	0	1	0	123	0	0	0	0	0
Otu634	0	0	0	1	0	0	1	0	1	0	0
Otu303	0	0	0	0	7	0	0	0	0	1	101
Otu481	0	0	0	0	27	0	0	0	1	10	6
Otu428	0	0	0	0	52	0	0	0	0	0	1
Otu240	0	0	0	0	74	1	0	0	12	55	111
Otu231	0	0	0	0	103	0	0	3	0	105	50
Otu356	0	0	0	0	62	0	0	0	0	0	0
Otu229	0	0	0	0	20	1	0	1	0	92	147
Otu189	0	0	0	0	98	0	0	0	0	36	262
Otu523	0	0	0	0	8	0	0	0	0	21	14
Otu473	0	0	0	0	17	0	0	0	0	0	0
Otu366	0	0	0	0	64	0	1	0	0	1	0
Otu397	0	0	0	0	18	0	0	0	2	2	14
Otu233	0	0	0	0	73	1	1	0	2	19	192
Otu605	0	0	0	0	2	1	0	1	2	2	0
Otu345	0	0	0	0	5	1	1	0	4	61	0
Otu385	0	0	0	0	6	1	1	1	2	36	1
Otu564	0	0	0	0	1	0	2	0	0	2	1
Otu505	0	0	0	0	1	0	2	9	0	2	0
Otu631	0	0	0	0	6	0	0	0	0	0	0
Otu589	0	0	0	0	7	0	0	0	0	0	0
Otu360	0	0	0	0	8	0	0	1	1	14	40
Otu615	0	0	0	0	1	0	0	0	0	0	2
Otu501	0	0	0	0	4	0	0	0	0	2	8
Otu590	0	0	0	0	1	0	0	0	0	0	5
Otu300	0	0	0	0	1	28	1	0	40	3	27
Otu577	0	0	0	0	1	0	0	0	0	0	7
Otu453	0	0	0	0	2	0	0	3	0	0	17
Otu563	0	0	0	0	1	0	1	1	4	0	1
Otu138	0	0	0	0	2	772	1	4	0	0	0
Otu599	0	0	0	0	1	0	0	0	0	1	2
Otu522	0	0	0	0	1	2	1	0	0	0	3
Otu365	0	0	0	0	1	0	0	0	1	5	45
Otu613	0	0	0	0	1	0	0	3	0	0	0
Otu617	0	0	0	0	1	0	0	3	0	0	0
Otu603	0	0	0	0	1	0	0	0	2	0	1
Otu555	0	0	0	0	1	2	0	0	4	0	0
Otu602	0	0	0	0	1	0	0	0	0	1	3
Otu659	0	0	0	0	1	1	1	0	0	0	0
Otu611	0	0	0	0	1	0	0	2	4	2	1
Otu389	0	0	0	0	0	37	0	0	0	0	0
Otu429	0	0	0	0	0	26	0	0	0	0	0
Otu521	0	0	0	0	0	173	0	0	1	0	0
Otu395	0	0	0	0	0	35	1	0	0	0	0
Otu402	0	0	0	0	0	33	0	0	0	0	0
Otu281	0	0	0	0	0	49	1	0	32	0	17
Otu581	0	0	0	0	0	6	1	2	1	0	0
Otu598	0	0	0	0	0	4	0	0	0	0	0
Otu595	0	0	0	0	0	6	0	0	0	0	0
Otu547	0	0	0	0	0	12	0	0	0	1	0
Otu650	0	0	0	0	0	9	1	4	0	0	0
Otu534	0	0	0	0	0	9	0	0	0	0	0
Otu594	0	0	0	0	0	3	0	0	3	0	1
Otu582	0	0	0	0	0	7	0	0	0	0	0
Otu491	0	0	0	0	0	1	0	0	8	2	1
Otu494	0	0	0	0	0	5	0	0	3	0	0
Otu548	0	0	0	0	0	6	1	0	0	0	0
Otu632	0	0	0	0	0	2	0	0	1	0	1
Otu592	0	0	0	0	0	2	1	0	0	0	1
Otu255	0	0	0	0	0	1	156	0	0	0	0
Otu488	0	0	0	0	0	1	0	0	21	0	2
Otu657	0	0	0	0	0	1	0	0	4	0	1
Otu645	0	0	0	0	0	3	0	0	0	0	0
Otu622	0	0	0	0	0	1	0	4	0	0	0
Otu546	0	0	0	0	0	2	4	11	0	0	1
Otu654	0	0	0	0	0	2	0	0	1	0	2
Otu586	0	0	0	0	0	0	42	44	2	17	0
Otu386	0	0	0	0	0	0	4	0	26	0	1
Otu516	0	0	0	0	0	0	1	9	2	0	0
Otu626	0	0	0	0	0	0	1	4	0	0	0
Otu526	0	0	0	0	0	0	1	9	1	0	0
Otu432	0	0	0	0	0	0	1	18	0	0	0
Otu627	0	0	0	0	0	0	1	4	2	0	0
Otu651	0	0	0	0	0	0	0	2	1	0	0
Otu459	0	0	0	0	0	0	0	14	0	0	0
Otu601	0	0	0	0	0	0	0	5	0	0	0
Otu533	0	0	0	0	0	0	0	7	3	0	0
Otu647	0	0	0	0	0	0	0	6	0	0	0
Otu538	0	0	0	0	0	0	0	5	0	0	0
Otu487	0	0	0	0	0	0	0	25	0	0	0
Otu662	0	0	0	0	0	0	0	4	0	0	0
Otu587	0	0	0	0	0	0	0	5	1	0	0
Otu604	0	0	0	0	0	0	0	11	0	0	0
Otu447	0	0	0	0	0	0	0	18	0	0	0
Otu543	0	0	0	0	0	0	0	5	0	0	0
Otu621	0	0	0	0	0	0	0	11	0	0	0
Otu653	0	0	0	0	0	0	0	3	0	0	0
Otu549	0	0	0	0	0	0	0	11	1	0	0
Otu539	0	0	0	0	0	0	0	10	0	0	0
Otu633	0	0	0	0	0	0	0	3	0	0	0
Otu550	0	0	0	0	0	0	0	6	0	0	0
Otu600	0	0	0	0	0	0	0	4	0	0	0
Otu655	0	0	0	0	0	0	0	5	0	0	0
Otu562	0	0	0	0	0	0	0	7	0	0	0
Otu642	0	0	0	0	0	0	0	6	0	0	0
Otu666	0	0	0	0	0	0	0	6	0	0	0
Otu310	0	0	0	0	0	0	0	10	0	73	0
Otu620	0	0	0	0	0	0	0	3	0	0	0
Otu584	0	0	0	0	0	0	0	4	0	0	0
Otu585	0	0	0	0	0	0	0	5	0	0	0
Otu463	0	0	0	0	0	0	0	11	0	0	0
Otu630	0	0	0	0	0	0	0	3	0	0	1
Otu640	0	0	0	0	0	0	0	3	0	0	0
Otu667	0	0	0	0	0	0	0	4	0	0	0
Otu610	0	0	0	0	0	0	0	3	0	0	0
Otu450	0	0	0	0	0	0	0	0	3	1	15
Otu435	0	0	0	0	0	0	0	0	25	0	0
Otu636	0	0	0	0	0	0	0	0	3	0	0
Otu658	0	0	0	0	0	0	0	0	2	0	1
Otu415	0	0	0	0	0	0	0	0	0	3	33
Otu263	0	0	0	0	0	0	0	0	0	2	153
Otu525	0	0	0	0	0	0	0	0	0	1	10
Otu336	0	0	0	0	0	0	0	0	0	0	69
Otu576	0	0	0	0	0	0	0	0	0	0	6
Otu571	0	0	0	0	0	0	0	0	0	0	4
Otu471	0	0	0	0	0	0	0	0	0	0	11
Otu606	0	0	0	0	0	0	0	0	0	0	5
