	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD
OTU_81	95.1740702223543	75.2244722514089	29.3380235138581	66.8022745134298	81.1640519078055	31.3534038513697	59.6795930788627	24.766374209345	5.77373137736172	38.1345099171168	82.7793965134081	84.6489964467493	163.255777961205	48.8254223652454	164.163273513296	56.9319551311764	151	52.3064129530891	30.7563664006081	115.6	131.138826946015	48.1915933528837	30.1201880432854	152.820211515864
OTU_48	231.13702768286	5.52106218358965	30.7025827470608	0.668022745134298	7.27677706759636	13.063918271404	258.192765846448	116.755764129769	1412.91454991723	599.42682775968	0	456.54950542591	143.128353281057	0	315.251596038808	646.345137665709	6	143.489213911852	545.925503610794	15.4581395348837	8.24301197946378	5.81622678396872	158.291200993436	7.0750097924011
OTU_11	387.852226018917	334.024262107174	64.1342839605269	249.840506680227	732.155723416618	329.863936352952	180.295191722459	137.984084880637	25.5693818140305	199.610325347408	352.526050669169	368.43128781331	299.674989682212	558.004827031376	246.244910269944	22.7727820524706	99	16.9642420388397	82.9323451159255	578	1180.24944251413	244.281524926686	114.072201525634	1073.27898550725
OTU_49	64.4035061655029	29.6757092367943	30.7025827470608	64.1301835328926	147.214797598296	24.1682488020975	68.4744804799583	15.3315649867374	46.1898510188938	48.8598408313059	28.5446194873821	83.2613079804091	26.0911060668593	14.7251273799946	31.9609913034736	45.5455641049411	15	31.8079538228244	14.8289623717218	72.5860465116279	80.9313903438262	2.49266862170088	7.69026077700905	63.6750881316099
OTU_42	59.3943445748527	167.702263826535	41.6190566126824	18.7046368637603	93.4785977145071	16.9830937528252	21.9872185027389	43.6359926545603	10.7226439865289	25.6216238505629	27.8310040001975	31.9168347258235	38.0184688402806	115.475998927326	23.9707434776052	32.8195976638546	43	12.0163381108448	74.6940326871912	129.713953488372	147.624850904942	63.9784946236559	77.5434628348412	147.867704661183
OTU_30	194.641707522409	45.5487630146146	43.6658954624864	193.726596088946	30.7863645167538	30.7002079377995	95.4873489261803	34.2011834319527	108.876077401678	150.154632798647	57.8028544619487	127.667338903294	216.928910441601	67.4255832662912	114.76901422611	153.381385000464	37	357.662769652204	53.2744203724819	54.4395348837209	26.9771301146087	2.49266862170088	62.1629412808231	12.0275166470819
OTU_10	573.906799385926	1091.79004680485	468.726096605128	953.268457306643	495.940344760798	679.97694602658	285.833840535606	391.544582738217	98.9782521833438	275.283493464187	1398.68635488172	362.18668971478	752.914775072225	1047.80906409225	458.349670738451	390.486233429128	1121	137.127623147288	283.947168377043	444.925581395349	864.017528392885	802.639296187683	485.127284016321	511.523207990599
OTU_22	113.779527559055	411.319132677429	175.345861466547	263.868984328048	77.245787332946	285.446614230178	105.538648813147	73.1197714752091	20.6204692048633	72.098057812049	966.235369647884	27.059925093633	47.7094510936855	336.352909627246	52.2998039511386	65.6391953277093	391	45.9448221885242	65.3572786012923	129.041860465116	219.563864543899	709.579667644184	66.0080716693277	119.567665491579
OTU_32	62.9723171396028	2.07039831884612	71.6393597431418	56.113910591281	79.4847956614371	121.494439924058	67.2180679940875	145.060191797592	34.6423882641703	53.6266545709455	52.8075460516569	317.086814558725	82.7460792406108	27.9002413515688	150.361936359523	239.114211550941	307	135.007092892433	108.196503230711	38.9813953488372	20.2328475859565	21.603128054741	69.8532020578322	14.1500195848022
OTU_286	174.605061159808	262.250453720508	15.0101515652297	80.8307521612501	146.09529343405	37.2321670735015	126.89766107295	40.0979391960824	0.824818768194532	109.636716011711	182.685564719245	20.1214827619322	55.9095130004127	275.127379994637	16.7068818177248	77.6953740613702	249	41.7037616788143	14.2797415431395	112.911627906977	192.58673442929	155.376344086022	38.4513038850452	110.370152761457
OTU_40	59.3943445748527	202.208902473971	29.3380235138581	66.1342517682955	55.4154561301569	43.1109302956333	54.6539431353795	60.1469087941236	26.394200582225	38.7303616345718	46.3850066669959	24.2845481609527	22.3638052001651	265.827299544114	38.4984667973659	22.102994345045	190	20.4984591302646	45.0361079437476	89.3883720930232	194.085463880102	86.4125122189638	35.8878836260422	151.405209557383
OTU_82	189.632545931759	267.771515904098	42.9836158458851	207.755073736767	40.8619019949642	73.8111382334328	111.192504999565	142.111813915527	29.6934756550031	109.636716011711	412.469751592671	240.763948910016	542.695006190673	142.601233574685	180.143769165033	210.983127839066	121	48.7721958616641	109.294944887875	37.6372093023256	87.6756728724783	163.685239491691	272.36340251907	35.3750489620055
OTU_4	470.145595008171	129.054828541408	1087.55370886255	618.58906199436	54.8557040480341	1231.27429707983	149.513085818624	481.175270352989	456.949597579771	785.332563605625	258.328806360808	219.948621914914	407.021254643005	238.702064896755	722.754235158096	219.690368035598	1101	289.09895807856	219.139110604333	248.674418604651	101.913602655189	529.276637341153	1459.22698243747	149.990207598903
OTU_18	225.41227157926	102.829783169357	25.24434581425	40.0813647080579	66.05074569049	30.0470120242293	208.564472654552	316.066108957356	85.7811518922313	140.621005319368	149.859252308756	294.883799097282	224.38351217499	50.3754357736659	208.472829638566	413.928803189024	107	62.2022208090789	284.496389205625	73.9302325581395	62.946636934087	62.316715542522	225.580982792265	130.88768115942
OTU_29	85.8713415540039	428.572452001146	85.9672316917702	109.555730202025	186.957195429014	37.8853629870717	49.000086948961	35.3805345847786	16.4963753638906	29.1967341552926	241.202034668379	20.1214827619322	110.328105654148	303.802628050416	39.951239129342	35.4987484935571	122	19.0847722936947	28.559483086279	307.146511627907	538.043872841363	284.1642228739	39.7330140145467	530.625734430082
OTU_20	337.045015599465	253.968860445124	387.534822229567	77.4906384355786	499.298857253535	348.806617846488	119.987392400661	21.8179963272801	117.124265083623	190.076697868129	20.694849128352	114.484298473063	134.182831200991	403.003486189327	217.189463630423	129.269027533142	242	316.665851391674	35.6993538578487	761.481395348837	394.16584556345	190.273704789834	99.9733901011176	527.795730513122
