	114t1	114t2	114t3	114t4	114t5	120t1	120t2	120t3	120t4	120t5	120t6	125t1	125t2	125t3	125t4	125t5	125t6	129t2	129t3	129t4	129t5	129t6	134t1	134t2	134t3	134t4	134t5	134t6	139t1	139t2	139t3	139t4	139t5	139t6	148t1	148t2	148t3	148t4	148t5	148t6	150t1	150t3	150t4	150t5	150t6	151t1	151t2	151t3	151t4	151t5	151t6	155t1	155t2	155t3	155t4	155t5	155t6	156t1	156t2	156t3	156t4	156t5	156t6	163t1	163t2	163t3	163t4	163t5	163t6	169t1	169t2	169t3	169t4	169t5	169t6	191t1	191t2	191t3	191t4	191t5	191t6
Zotu468	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	5	0	0	0	0	0	0	0	0	0	4	7	0	0	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu514	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	10	6	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	2	1	1
Zotu397	1	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	8	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	12	0	0	0	0	0	0	5	2	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0
Zotu271	3	36	1	15	8	1	0	1	0	13	5	0	0	0	0	0	0	1	1	0	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	1	0	2	11	8	1	14	42	1	1	10	3	0	18	14	8	1	3	2	6	0	0	0	0	0	0	0	2	2	0	1	2	4	0	14	2	14	3
Zotu433	1	2	3	0	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	4	5	6	2	4	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	2	2	1	1	5	1	0	0	0	3	0	0	0	0	0	0	3	0	0	1	4	2
Zotu298	0	2	1	1	2	1	0	0	1	0	1	1	0	1	0	0	1	1	2	2	5	1	0	1	0	0	0	0	2	2	2	1	4	1	2	7	1	3	3	1	1	1	4	3	2	6	5	9	4	6	2	0	1	0	0	0	0	3	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	2	1	0	2	0	0	1	2
Zotu257	1	1	1	1	3	4	4	5	2	2	2	0	0	3	4	1	4	4	8	0	2	2	1	4	1	2	8	1	0	0	3	1	0	4	3	3	5	7	5	2	5	2	2	4	7	5	4	1	3	3	0	1	0	4	0	0	0	2	1	3	2	4	5	1	3	6	1	4	2	1	0	0	0	0	0	1	1	2	0	1	0
Zotu319	1	0	4	2	1	0	2	0	1	2	2	4	1	6	4	22	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	10	8	18	15	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
Zotu252	1	6	1	5	3	5	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	25	8	6	8	29	27	2	12	9	28	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	0	4	1	2	4	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1
Zotu530	0	0	0	0	0	39	39	23	34	4	19	0	0	0	0	0	0	0	0	1	0	0	7	20	4	20	2	11	0	0	0	0	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	24	20	37	28	0	0	0	0	0	0	25	10	2	32	22	14
Zotu98	2	10	0	15	9	8	1	48	96	167	163	0	0	0	0	0	0	0	0	0	0	0	103	20	3	13	426	322	0	0	0	0	0	0	10	19	74	4	18	409	16	3	12	10	46	0	0	0	0	0	0	0	0	0	0	0	0	2	38	39	14	3	40	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	3	21	19
Zotu395	0	1	0	1	0	0	0	1	0	0	2	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu232	0	1	0	5	2	0	2	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	12	6	11	18	6	13	8	14	14	20	20	21	1	2	4	0	0	3	2	1	4	0	1	0	0	0	0	0	0	2	12	3	2	5	5	0	0	0	0	1	0	4	7	4	2	2	0	0	0	0	0	1	1
Zotu88	1	1	1	0	2	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	499	593	607	399	432	172	193	272	302	31	244	0	0	0	0	0	0	0	0	0	0	0	0	6	3	73	1	6	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu13	1	1	0	0	1	5521	1410	1048	3582	194	1157	0	0	1	1	0	0	0	0	4	1	0	493	3378	1125	3218	392	1097	0	0	3	0	1	0	47	69	90	289	166	43	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1071	580	1223	1787	3042	1553	6	1	0	2	0	0	5604	2740	292	7753	3380	3752
Zotu385	0	0	0	0	0	3	0	1	1	0	1	6	0	3	2	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	3	0	2	0	0	0	0	0	0	0	1	4	1	0	0	2	0	0	0	0	0	1	2	2	0	0	1	2	0	0	0	0	0	0	4	1	3	6	4	2
Zotu545	1	1	0	1	0	0	0	1	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	2	0
Zotu471	1	4	0	3	2	0	1	2	0	2	0	2	0	1	3	3	2	0	1	0	2	0	1	0	0	0	1	0	0	0	0	1	0	3	4	3	12	5	3	7	2	1	3	1	2	1	1	0	0	0	2	0	0	0	0	0	0	4	12	9	4	7	5	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	2	0
Zotu155	1	1	1	0	0	10	11	6	10	22	13	2	4	10	1	8	8	14	19	23	39	27	1	3	2	0	1	2	5	1	4	1	1	1	77	126	97	107	121	86	0	1	1	0	1	51	34	49	114	24	18	0	4	1	0	2	0	2	4	2	2	0	10	2	3	8	8	14	12	2	3	1	1	4	1	0	3	1	0	2	1
Zotu516	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu268	0	11	86	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	44	35	7	6	12	12	0	5	0	0	0	4
Zotu439	0	4	1	0	0	1	1	0	0	0	2	0	0	1	6	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	1	2	4	0	0	0	0	1	1	0	0	0	2	0	0	1	1	2	2	2	10	1	0	0	0	1	0	1	1	0	0	0	1	1	2	3	1	2	0	0	0	0	0	0	1	1	0	2	1	1	0
Zotu359	0	3	0	4	1	2	2	5	2	5	3	14	32	36	33	34	17	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	12	7	25	10	8	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	8	3	3	6	2	2	3	3	3	1
Zotu405	0	13	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	2	1	9	4	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu389	0	2	0	0	1	0	0	0	0	0	0	4	2	6	11	13	3	0	0	0	0	0	0	0	0	0	0	0	0	6	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu461	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	4	15	18	3	8	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu353	0	1	0	0	0	1	0	1	0	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	7	9	15	8	3	14	0	0	0	0	0	3	0	1	4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu184	0	0	0	1	0	3	1	0	4	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	141	129	117	54	76	8	5	9	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	5	1	1	1
Zotu400	0	1	0	1	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	5	6	2	1	2	8	0	0	1	0	1	4	0	0	1	0	4	0	2	5	0	0	0	0	2	4	0	2	1	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0
Zotu469	0	0	0	0	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	2	5	2	3	0	0	0	0	0	0
Zotu121	0	5	1	1	2	0	0	0	0	0	0	12	205	187	379	652	62	0	0	0	0	0	5	7	10	27	19	59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	3	0	3	9	0	0	1	0	0	21	0	3	10	0	0	0	0	2	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	1
Zotu475	0	1	0	0	2	1	1	0	0	1	1	3	1	1	0	0	0	2	0	2	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	1	0	2	1	2	1	0	2	1	2	2	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0
Zotu334	0	1	1	1	0	0	0	0	0	0	0	2	0	3	3	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	8	0	0	1	12	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu376	0	1	3	0	1	1	0	0	0	0	0	0	0	3	0	2	1	2	4	1	4	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	2	1	3	17	0	1	1	0	0	9	32	8	24	12	4	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	1	0	1	2	1	2	1	0	0	0	0	1
Zotu348	0	0	0	0	1	0	0	0	0	0	0	5	0	1	4	0	2	4	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	0	1	0	0	0	0	0	0	2	2	0	1	0	0	2	1	1	1	3	2
Zotu16	0	1	0	0	0	322	369	272	215	563	261	626	1394	904	1518	1855	853	602	606	475	1429	790	1080	1600	1452	694	2041	1817	6	40	82	6	148	25	197	530	1356	589	432	597	0	0	0	0	0	191	740	177	386	728	730	461	448	785	531	462	415	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	4	1	1	3	6	0
Zotu31	0	1	0	0	0	535	455	245	92	231	743	2349	1172	852	1084	635	3806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	762	711	615	2035	2289	1824	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu402	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	1	1	0	3	0	2	0	0	0	0	1	1	1
Zotu399	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	3	2	2	0	0	0	0	0	0	0	0	1	1	0	0
Zotu507	0	1	1	0	1	0	0	0	2	0	2	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0
Zotu420	0	0	0	2	0	0	1	0	0	1	1	2	0	3	3	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Zotu139	0	1	0	0	0	18	84	18	6	19	46	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	2	0	211	583	762	794	492	760	0	0	0	0	0	0	0	36	19	2	98	0	0	0	0	0	1	189	243	413	131	0	463	349	227	103	519	363	314	210	431	303	294	420	510	28	14	93	242	0	2	83	119	188	76	150	125
Zotu356	0	1	1	1	0	0	1	0	1	3	0	0	1	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	1	5	6	5	2	2	1	0	0	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	3	0	1	0	0	1	2	0	0	0	0	1	0	0	0
Zotu464	0	2	0	0	0	1	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Zotu484	0	0	2	0	0	0	0	0	0	0	0	1	0	1	10	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0	0
Zotu393	0	1	1	0	0	2	1	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	3	2	1	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu449	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	1	0
Zotu422	0	0	0	2	0	1	1	5	2	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	2	0	0	1	0	0	0	1	1	4	0	1	0	0	0	0	0	1	2	1	0	0	0	0	1	1	1	0	3	2	1	0	1	2	0	1	0	0	0	0	0	0	2	1	0	0
Zotu264	0	0	5	3	0	0	24	0	0	0	0	0	0	0	0	0	0	6	5	1	0	6	0	0	0	0	0	0	7	0	9	3	0	0	1	4	0	0	0	2	0	1	3	1	0	3	0	9	11	29	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	10	3	0	3	12	8	4	7	0	0	0
Zotu46	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1176	1202	2078	1234	1190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	42	862	0	3	0
Zotu382	0	0	0	1	0	0	0	0	0	0	0	1	7	3	3	13	6	0	0	0	0	0	0	0	1	0	1	0	0	3	0	9	0	0	0	0	0	0	0	0	2	1	8	0	2	0	0	0	0	0	0	1	1	1	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0
Zotu289	0	0	1	0	0	33	46	18	19	30	16	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	7	11	11	27	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Zotu568	0	0	0	0	0	3	0	0	0	0	49	0	0	0	0	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	0	2	1	1	4714	6654	7947	4623	3740	4667	0	6	0	1	0	0	1	0	0	0	0	4420	3972	4363	3907	653	1916	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	2	0	1	11	88	843	380	1472	1674	0	0	1	0	0	1
Zotu288	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	12	13	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	4	3	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	4	2	0	8	7
Zotu262	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	4	3	1	1	0	0	0	0	0	1	2	2	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	59	4	8	11	4	5	2	0	1	0	0	123
Zotu127	0	0	0	0	0	511	157	343	821	629	715	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	358	613	447	563	424	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu124	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	37	2	12	2	491	0	0	269	2	15	451	29	1	0	0	0	0	0	0	0	0	0	0	0	7	1	9	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	28	627	5	0	0	0
Zotu22	0	0	0	0	1	152	27	13	7	133	400	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	25	511	7	1196	111	283	3426	2789	2879	2404	2284	2114	835	736	952	49	475	0	0	0	0	0	0	15	71	36	26	3	70	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0
Zotu489	0	0	0	0	0	0	0	0	0	0	3	6	0	1	1	5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu566	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1
Zotu130	0	0	1	0	0	47	33	22	39	53	34	25	309	238	153	264	40	5	2	1	6	3	343	157	338	165	305	326	53	32	80	18	46	87	10	16	3	8	6	8	1	0	1	1	2	10	3	2	5	0	6	79	94	120	35	208	68	109	209	30	52	26	111	10	56	8	11	6	11	0	1	3	0	1	0	89	43	35	12	17	59
Zotu266	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	81	0	0	0	0	1	0	9	0	0	0	0	0	0	0
Zotu536	0	0	0	0	1	4	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	4	0	0	1	3	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	8	2	6	0	0	0	0	1	0	1	0	0	1	1	2
Zotu407	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	58	18	10	153	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu136	0	0	1	1	0	0	0	0	0	0	5	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	323	811	116	68	53	8	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu459	0	0	0	0	0	0	1	1	1	1	5	0	1	1	2	0	0	0	0	0	0	0	2	37	1	10	7	6	2	4	7	9	11	19	1	0	0	0	0	0	14	5	6	4	3	0	0	0	0	0	0	1	2	3	1	0	1	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	3	0
Zotu364	0	0	0	3	0	5	4	2	0	3	0	2	4	2	5	4	1	4	3	2	0	3	2	2	0	1	4	1	0	1	0	0	1	1	5	7	55	14	10	101	2	3	2	4	7	2	10	3	7	12	12	2	0	1	0	0	0	0	2	0	1	0	1	0	0	1	1	0	2	2	7	3	0	3	3	1	0	2	1	0	0
Zotu306	0	0	0	6	1	4	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	1	13	1	2	2	2	4	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	2	0
Zotu188	0	0	0	7	1	42	8	1	15	24	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	33	71	1	44	0	0	0	0	0	0	0	1	0	1	0	7	1	4	3	2	7	8	4	0	1	2	0	26	0	0	0	0	0	0	4	3	40	8	40	6
Zotu463	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	4	12	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu543	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu147	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	139	257	184	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu187	0	0	0	3	0	0	5	1	3	5	2	13	38	34	75	82	21	3	0	0	4	2	3	1	2	0	0	1	0	0	0	0	0	0	39	21	27	23	13	26	5	12	15	2	5	0	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	7	4	5	7	1	1	2	0	1	0	0	1	2	2	3	0
Zotu190	0	0	0	1	1	7	8	1	0	13	21	13	5	2	6	4	10	1	0	0	0	0	0	0	0	0	0	0	5	8	9	36	8	15	1	0	0	4	0	4	4	1	6	0	0	69	26	20	37	18	41	0	0	0	0	0	0	2	5	13	7	6	20	26	15	22	56	35	13	25	36	38	47	26	13	1	3	3	0	0	0
Zotu557	0	0	0	0	0	0	1	4	2	2	2	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	13	3	5	3	0	1	1	0	2	0	6	2	2	4	3	0	0	3	0	0	0	1	0	0	1	0	9	3	0	1	0	2	7	0	0	0	0	0	0	3	1	0	0	0	1
Zotu360	0	0	0	1	1	0	0	0	0	0	0	43	84	80	37	38	33	46	32	44	40	42	22	5	19	18	7	5	45	22	37	41	46	40	78	93	83	42	33	15	51	65	37	70	21	0	0	0	0	0	0	352	557	369	806	107	221	50	82	73	35	71	57	78	63	104	101	42	63	0	0	0	0	1	0	76	55	182	20	33	92
Zotu361	0	0	0	2	1	1	1	3	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	4	18	1	3	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	5	0	0	3	1	3	0	0	0	0	0	0	0
Zotu555	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	0
Zotu547	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	4	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Zotu326	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	27	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
