	114t1	114t2	114t3	114t4	114t5	120t1	120t2	120t3	120t4	120t5	120t6	125t1	125t2	125t3	125t4	125t5	125t6	129t2	129t3	129t4	129t5	129t6	134t1	134t2	134t3	134t4	134t5	134t6	139t1	139t2	139t3	139t4	139t5	139t6	148t1	148t2	148t3	148t4	148t5	148t6	150t1	150t3	150t4	150t5	150t6	151t1	151t2	151t3	151t4	151t5	151t6	155t1	155t2	155t3	155t4	155t5	155t6	156t1	156t2	156t3	156t4	156t5	156t6	163t1	163t2	163t3	163t4	163t5	163t6	169t1	169t2	169t3	169t4	169t5	169t6	191t1	191t2	191t3	191t4	191t5	191t6
Zotu241	3	145	0	67	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu273	4	3	0	2	1	2	5	1	1	4	2	0	0	0	0	0	0	0	0	0	0	0	8	2	2	3	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	0	1	13	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu62	2	1	4	33	0	15	3	5	14	8	11	188	74	0	15	3	9	13	93	5	193	4	1	1	3	2	0	2	2503	47	29	50	132	19	1	133	291	32	47	580	8	31	13	81	66	0	1	0	0	1	0	0	0	0	2	6	285	2	155	53	37	1	373	0	0	0	0	0	1	0	12	14	12	1	0	67	3	3	7	445	3
Zotu237	11	8	2	5	3	1	4	11	5	7	6	21	67	34	103	63	38	4	1	2	1	8	60	73	31	17	93	77	4	38	22	66	25	25	21	19	28	5	5	17	163	121	122	41	95	22	121	27	1	40	72	20	29	45	25	9	15	35	61	29	11	9	28	5	2	3	0	2	7	0	1	1	0	0	9	3	4	12	2	8	6
Zotu276	1	8	8	4	4	8	3	9	5	10	5	1	0	1	0	1	0	1	0	0	0	0	4	3	0	1	11	7	11	6	14	13	10	16	4	6	1	4	4	3	1	0	3	0	0	0	1	0	0	0	0	2	3	1	0	2	0	1	0	1	6	3	0	16	5	7	24	8	24	2	1	0	0	0	1	3	2	4	2	2	3
Zotu454	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1
Zotu474	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	2	0	0	0	1	1	4	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1
Zotu293	3	9	2	7	6	3	9	0	4	1	4	0	0	0	0	0	2	5	3	1	2	13	9	7	2	2	9	6	1	4	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1	0	21	1	1	22	25	1	0	2	2	8	3	1	0	0	1	0	0	0	0	0	0	0	1	1	0	9	0	0	15	0	0	2	0	1	0
Zotu286	4	3	2	4	0	0	2	1	3	8	7	0	0	0	0	0	0	10	3	3	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	0	1	1	2	2	1	2	0	0	0	1	0	0	5	1	10	4	3	4	0	6	5	1	0	5	5	3	3	0	3	2
Zotu521	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Zotu331	5	5	8	10	4	1	1	3	4	4	3	2	7	12	9	10	6	0	0	0	0	0	4	0	3	2	5	1	0	1	4	3	3	2	0	0	0	0	0	0	7	1	6	3	6	1	4	1	3	2	1	12	16	6	4	5	0	10	4	9	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	5	6	1
Zotu431	1	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	2	1	0	2	2	4	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0
Zotu314	1	0	0	0	0	3	2	3	2	6	0	11	2	14	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	11	58	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu488	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	5	0
Zotu178	7	10	8	9	7	5	4	1	5	5	5	4	33	25	7	13	5	10	8	11	6	13	6	1	8	3	6	6	15	10	24	18	9	25	8	12	10	20	11	8	4	6	4	23	18	9	7	19	11	4	5	5	7	4	2	8	3	4	18	10	9	15	4	13	9	8	15	10	9	1	1	6	0	1	1	40	17	13	24	15	26
Zotu501	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu253	3	16	1	6	14	0	0	0	0	0	0	7	8	26	26	159	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	13	28	28	2	20	22	32	15	23	0	0	0	0	0	0	0	0	0	0	0	0	16	14	23	17	28	11	32	8	13	8	20	27	0	0	0	0	0	0	9	6	5	15	16	26
