#OTU ID	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
Zotu8	6779	8231	4218	10	252	833	2	43	5	27	15	0	0	0	0	5028	3761	756	1444	985	15	1396	5122	60	6519	878	401	1027	6	0	2	1	4	4346	1430	2245	2612	1832	1197	5168	3930	5627	154	399	1	0	0	1	5288	1876	5295	2273	4571	175	5056	4715	1124	4985	57	1518	0	1	1	0
Zotu2	13388	13022	7341	32	392	1750	10	67	7	48	22	0	0	0	0	8490	6360	1404	2429	1624	31	2467	9453	95	12144	1569	792	1859	11	0	0	0	0	7805	2656	4057	4714	3225	2104	9188	7018	10885	271	755	1	0	1	2	9494	3139	9312	3871	8544	352	9402	8586	2297	9925	128	2888	2	0	1	2
Zotu22	12342	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8387	0	0	1	0	0	0	0	0	0	0	0	6871	919	947	2284	1	2625	455	1007	603	1705	0	0	0	0	0	4476	8	4705	1213	0	0	2735	389	0	164	2328	28	0	0	0	0
Zotu14	18606	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	2	0	0	10996	0	0	0	0	0	0	0	0	0	0	0	9825	1315	1338	3033	8	3752	563	1318	762	2638	0	0	0	0	0	7083	2	6470	1651	2	0	4302	464	0	209	3544	28	1	0	0	0
Zotu17	3912	4408	2530	2	150	460	3	19	7	25	11	0	0	0	0	2714	2238	404	811	553	5	840	2940	14	3775	527	228	541	1	0	0	0	0	2316	789	1204	1529	1077	611	2889	2251	3446	101	160	0	0	0	0	2945	1128	2983	1202	2443	112	2785	2642	619	2692	35	893	0	0	0	1
Zotu10	6220	6817	3715	3	233	674	6	30	5	22	7	0	0	0	0	4412	3458	636	1154	937	8	1343	4554	45	5932	681	390	893	0	0	0	0	1	3702	1278	1969	2481	1565	1068	4593	3722	5446	145	328	0	0	0	0	4788	1654	4725	1884	4043	166	4509	4272	1043	4174	47	1448	0	0	0	0
Zotu19	13804	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8403	0	0	0	0	0	0	0	0	0	0	1	7754	1034	938	2390	8	2884	454	1034	608	1866	3	0	2	0	0	5083	1	4827	1201	0	1	2996	392	0	159	2516	19	0	0	0	0
Zotu46	3831	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2656	0	0	0	0	0	0	0	0	0	0	0	2342	263	301	678	0	708	151	282	160	531	0	0	0	0	0	1416	0	1371	358	0	0	834	82	0	41	731	15	0	0	0	0
Zotu26	8073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	5150	0	0	0	0	0	0	0	0	0	0	0	4401	686	621	1427	0	1669	294	671	321	1085	0	0	0	0	0	2928	1	2876	822	0	0	1740	229	0	84	1484	17	0	0	0	0
Zotu1	15133	13859	8863	23	433	1982	16	68	13	75	23	0	0	0	0	8738	6735	1658	2637	1908	52	2810	11102	125	14299	1761	871	2165	5	3	0	2	2	9014	2960	4682	5338	3208	2274	9811	8025	12632	338	898	0	1	0	1	10813	3211	10399	4560	9314	364	10486	8742	2630	10828	168	2977	1	0	0	6
Zotu3	10921	11725	6703	27	395	1361	5	58	6	36	21	0	0	0	0	7603	5894	1186	2182	1550	24	2343	8110	66	10698	1290	656	1541	2	1	0	1	4	6635	2345	3302	4384	2756	1768	8068	6194	9079	238	582	0	2	1	0	8023	2943	8246	3403	7142	279	7751	7353	1853	7699	87	2429	0	0	0	1
Zotu6	7315	8080	4427	4	284	995	5	36	5	25	13	0	0	0	0	5120	4077	726	1431	938	22	1591	5365	55	7072	879	449	1053	4	2	0	1	5	4284	1508	2315	2722	1895	1124	5333	4160	5955	162	391	0	0	1	2	5333	1926	5688	2348	4963	248	5311	4990	1297	5437	82	1616	0	0	1	1
Zotu23	10507	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	6901	1	0	0	0	0	0	0	0	0	0	0	5838	843	746	1709	3	2382	412	787	423	1465	2	0	0	0	0	3924	4	3962	914	0	0	2477	308	0	116	2061	33	0	0	0	0
Zotu5	8652	9467	5301	21	331	1103	6	48	4	22	13	0	0	0	0	6023	4855	863	1874	1110	19	1775	6832	50	8531	996	558	1202	9	0	0	0	1	5153	1778	2837	3365	2141	1331	6374	4962	7250	169	508	0	2	1	5	6495	2379	6669	2895	5664	230	6412	5983	1629	6201	79	1856	0	0	0	0
Zotu60	170	495	294	26	174	111	20	1708	109	91	62	0	0	0	0	37	75	684	141	380	61	15	2	90	111	74	33	51	7	0	0	0	0	319	308	118	439	1501	203	15	111	475	144	42	1	0	0	0	315	1849	79	1703	1935	381	16	80	321	264	13	20	3	0	0	0
Zotu30	7004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4762	0	0	0	0	0	0	0	0	0	0	0	3906	607	530	1300	7	1618	226	528	303	955	0	0	0	0	0	2692	1	2628	711	0	0	1565	210	0	101	1394	25	0	0	0	0
Zotu32	6726	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4634	0	0	0	0	0	0	0	0	0	0	0	3972	542	504	1236	2	1331	215	504	284	922	0	0	0	1	0	2507	2	2476	681	0	0	1316	201	0	82	1224	13	0	0	0	1
Zotu9802	3	6	0	0	1	0	0	1	4	5	1	0	0	0	0	3	0	1	3	8	0	0	0	1	0	7	2	1	0	0	0	0	0	0	0	1	1	2	0	8	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu79	115	311	196	12	97	86	6	1114	88	81	36	0	0	0	0	11	61	356	89	222	55	4	1	44	89	32	21	36	4	0	0	0	0	191	216	93	293	1048	127	9	108	298	94	25	0	0	0	0	206	1216	62	974	1294	290	13	36	161	166	6	8	0	1	0	0
Zotu63	157	413	283	29	167	94	8	1591	122	96	52	0	2	2	0	15	83	596	88	256	70	6	2	81	117	74	22	39	12	0	0	0	0	288	250	129	456	1394	185	17	121	418	139	27	0	0	0	0	257	1637	72	1502	1795	360	13	88	278	284	7	20	2	0	0	0
Zotu322	3	3	1	0	8	0	1	21	11	3	0	28	30	105	42	0	6	2	6	19	0	0	0	1	3	0	4	0	1	109	65	43	268	6	7	5	27	19	12	9	7	9	8	4	83	41	78	119	0	6	0	12	0	2	0	11	1	1	1	0	12	18	21	26
Zotu8576	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Zotu1816	7	70	4	0	15	0	0	2	0	7	5	0	0	0	0	0	0	0	2	10	1	7	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	2	0	9	0	3	1	0	0	0	0	0	38	0	0	7	0	0	2	4	0	0	0	0	0	0	0	0
Zotu31	95	1367	2251	0	1467	1790	0	0	0	0	0	0	0	0	0	1171	4238	12	0	0	0	35	6363	0	224	2291	352	180	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	50	1	0	0	7866	1	0	0	9	0	0	0	0	0	0
Zotu75	24	488	701	0	515	446	0	0	0	0	0	0	0	0	0	385	1451	0	0	0	0	8	1832	0	67	688	110	40	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2439	0	0	0	3	0	0	0	0	0	0
Zotu2036	1	5	0	0	12	0	0	5	7	1	0	0	0	0	5	0	6	2	8	16	3	0	0	0	4	2	0	1	2	0	8	3	0	0	0	0	1	1	0	0	0	0	0	4	14	0	0	2	0	0	0	1	0	1	7	29	2	0	2	5	23	0	3	0
Zotu90	94	281	152	7	92	49	8	912	75	69	28	0	0	0	0	11	47	324	82	165	33	9	0	35	62	45	16	37	1	0	0	0	0	162	143	46	247	911	110	9	65	202	59	16	0	1	0	0	148	971	38	853	964	253	7	32	161	130	5	2	0	0	0	0
Zotu7194	1	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	1	3	0	0	0	21	1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Zotu68	137	411	239	14	137	81	13	1386	103	102	48	0	0	0	0	28	65	457	65	233	77	11	3	49	93	51	24	46	8	0	0	0	0	218	262	95	363	1216	171	11	124	343	125	27	0	0	0	0	222	1645	66	1359	1527	332	10	72	202	208	5	13	0	0	0	0
