	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD	taxonomy
OTU_1	9.26558708463329	8.6923297354093	12.9609518863025	22.8930701308308	16.6337400736006	20.2061296446976	9.74263107555865	0.187716792491328	0.0285404418060392	5.92552884417137	18.8354980492864	2.23758763084606	4.53982666116385	7.48726200053634	0.231237118584427	3.98627978121813	8.27681660899654	2.00557648094702	0.201444317749905	0.027906976744186	10.8904216148939	15.082513943994	0.00886996629412808	9.2978848413631	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_3	11.9546377457535	1.75279396312924	9.70772935454932	5.61693865285932	0.863838853379818	8.71530603019619	5.56473350143466	0.216282391348704	2.71134197157372	5.42245680590491	1.83712775939553	11.0823009699414	6.75299215848122	2.53687315634218	13.2408384858996	12.9415036618151	0.636678200692042	15.3891307538033	6.38160395286963	7.4	3.9568531867448	5.99735495371169	9.2380698953344	4.83744614179397	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_12	5.65542514732828	0.14328016047378	1.74701355115917	1.28981554250844	1.27832655432888	0.727782298164723	4.53873576210764	1.96694552132218	8.49363548147725	4.22250628840048	0.0691392167514445	1.09478536444829	0.325010317787866	0.412979351032448	1.54325642185693	1.86798924631501	0.698961937716263	3.00347307146701	1.86240973014063	1.23255813953488	0.285225328009127	3.22005635098614	0.700727337236118	0.259498629063846	Bacteria;Bacteroidetes;;;;;
OTU_31	1.16872183429901	1.28474543891489	0.415505925681099	1.12801072534788	0.763122215766027	0.70518036343911	0.730371272063299	0.877371964905121	0.194075004281066	0.64327244237351	1.39266136599338	0.590607893978681	1.24845233182006	1.05658353445964	0.738953400693711	0.579401130991008	1.1280276816609	0.337523846793523	0.627137970353478	1.04186046511628	1.09422807654411	0.678511873957794	0.975696292354089	0.949862906384646	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_16	1.10929530035161	2.06323431082243	0.925445016289721	1.47011233877306	0.778617083091226	0.949281258475726	0.626032518911399	1.07325035706999	0.268280152976768	0.750484516102429	2.54333547335671	0.686641697877653	2.3937267849773	1.70555108608206	0.970190519278138	1.1727078891258	1.23875432525952	0.229907547815878	1.34169517293805	1.21860465116279	1.53503085619458	1.178770628486	1.71633847791378	1.12122992557775	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVb;
OTU_13	1.86203139701877	0.324768363740567	0.679918787478162	0.124820858952429	0.782490799922526	0.366151342554923	5.36040344317885	5.88859416445623	9.65237741880244	5.43895097109398	0.0493851548224604	6.2710073946029	2.8373916632274	0.353982300884956	8.33961695068617	3.1055900621118	0.318339100346021	3.33121361835347	6.65146332193082	0.730232558139535	0.435616864595758	0.0805014087746536	1.39701969132517	0.430865648256953	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_2	6.45768335561828	0.11940013372815	1.70924028518816	1.56719522906939	0.042610885144296	0.655456107042763	16.3724893487523	15.4825545806978	8.04840458930304	8.80788421096037	0.666699590103215	21.4683568616153	26.8056128765993	0.134084204880665	4.7654954003921	8.57977194771484	6.19377162629758	12.1068336349851	9.33105283162296	0.00465116279069767	0.0103718301094228	0.661261572077511	6.77221926556679	0.00979240109674892	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;
OTU_34	1.03501213291735	3.8399083006973	0.169979696869541	0.0832139059682863	0.73600619794693	0.01808154778049	1.00426049908704	0.677412772903489	1.32427649980022	0.00824708259453218	0.671638105585461	1.02756170171901	3.18819645068097	1.8342719227675	0	1.24687123389265	0.477508650519031	0.014674949860588	0.0228050171037628	0.102325581395349	1.33278016906083	0.690012075211316	1.01561114067767	1.70387779083431	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;;
OTU_46	1.33709701381667	0.515808577705607	0.717692053449171	0.2034117701447	0.460972302924656	0.357110568664678	1.44770019998261	1.06916955723322	1.3128603230778	1.83497587728341	0.380265692132945	1.94468452895419	1.21234007428807	0.863502279431483	1.79460111597044	1.47399647724112	0.595155709342561	1.20823753852174	0.216647662485747	1.01395348837209	0.456360524814604	0.431257547007073	0.115309561823665	0.494516255385821	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_9	3.84786807309464	2.25905053013659	1.53926058831862	5.32568998197032	2.23900832849119	0.745863845945213	2.25632553690983	0.946745562130177	3.00245447799532	2.61020164116944	3.80265692132945	2.4488619994238	0.593272802311185	2.04880665057656	2.8954908761876	2.84601835542783	1.3840830449827	4.4709680575258	1.12884834663626	2.84186046511628	0.549706995799409	0.557759760795814	0.980131275501153	0.445554249902076	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
